,경계경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,공습경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,화생방경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,핵경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,지진경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,지진해일경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,태풍경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,홍수경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?,화산주의경보 발령 시 국민행동요령에 관해 얼마나 아신다고 생각하시나요?
2024. 4. 15 오전 1:28:22,2,1,3,1,3,2,2,1,1
2024. 4. 15 오전 1:29:20,3,3,3,3,3,3,3,3,3
2024. 4. 15 오전 1:29:46,1,1,1,1,1,1,1,1,1
2024. 4. 15 오전 1:30:36,2,2,3,1,3,3,3,2,1
2024. 4. 15 오전 1:33:37,1,1,1,1,1,1,1,1,1
2024. 4. 15 오전 1:34:59,3,2,2,2,4,2,2,2,2
2024. 4. 15 오전 1:35:06,2,1,2,2,3,3,3,2,2
2024. 4. 15 오전 1:35:45,1,1,1,1,1,1,1,1,1
2024. 4. 15 오전 1:36:56,2,2,2,2,2,2,4,2,1
2024. 4. 15 오전 1:37:19,5,5,5,5,5,5,3,2,3
2024. 4. 15 오전 1:38:23,1,1,1,1,2,1,1,1,1
2024. 4. 15 오전 1:38:46,1,1,3,3,3,2,4,3,1
2024. 4. 15 오전 1:40:29,5,5,5,5,5,5,5,5,5
2024. 4. 15 오전 1:42:03,1,1,1,1,1,1,1,1,1
2024. 4. 15 오전 1:42:33,5,5,5,5,5,5,5,5,5
2024. 4. 15 오전 1:43:27,2,2,4,2,4,4,3,2,1
2024. 4. 15 오전 1:44:00,1,1,1,1,1,1,1,1,1
2024. 4. 15 오전 1:56:07,2,2,2,2,2,2,2,1,1
2024. 4. 15 오전 1:56:29,2,3,2,1,5,2,4,4,2
2024. 4. 15 오전 2:24:32,1,1,1,1,4,3,1,1,1
2024. 4. 15 오전 2:51:11,3,3,5,1,4,4,4,4,1
2024. 4. 15 오전 2:57:36,1,2,1,2,2,2,2,2,1
2024. 4. 15 오후 1:00:40,1,2,1,2,2,2,2,1,1
2024. 4. 15 오후 1:03:59,4,4,4,4,4,4,4,4,4
2024. 4. 15 오후 1:07:36,2,1,2,1,3,1,2,2,1
2024. 4. 15 오후 1:19:17,5,5,3,3,3,3,3,3,3
2024. 4. 15 오후 1:19:39,3,3,3,3,3,3,3,3,3
2024. 4. 15 오후 1:34:40,2,1,4,2,4,4,5,4,2
2024. 4. 15 오후 1:35:35,2,2,1,3,4,4,5,4,1
2024. 4. 15 오후 1:40:25,3,3,3,3,3,3,3,3,3
2024. 4. 15 오후 1:41:07,3,3,3,3,3,3,3,3,3
2024. 4. 15 오후 2:00:13,3,4,5,5,4,4,3,3,4
2024. 4. 15 오후 2:11:20,3,3,4,3,4,4,4,4,2
2024. 4. 15 오후 2:28:53,1,2,2,2,4,2,3,2,2
2024. 4. 15 오후 2:38:59,2,2,2,2,4,2,4,2,2
2024. 4. 15 오후 2:45:41,2,3,3,4,3,2,3,2,3
2024. 4. 15 오후 2:56:53,1,1,1,1,4,2,3,1,1
2024. 4. 15 오후 2:58:02,2,2,2,2,1,2,3,3,1
2024. 4. 15 오후 3:10:13,2,2,2,1,2,2,2,2,1
2024. 4. 15 오후 3:25:40,5,5,5,5,5,5,5,5,5
2024. 4. 15 오후 3:28:58,3,2,4,2,4,2,4,4,1
2024. 4. 15 오후 3:39:21,2,1,1,1,1,3,4,2,1
2024. 4. 15 오후 3:39:22,5,5,5,5,5,5,5,5,5
2024. 4. 15 오후 3:39:51,2,2,4,4,2,1,1,2,1
2024. 4. 15 오후 3:43:06,3,3,1,2,3,2,4,4,3
2024. 4. 15 오후 3:45:04,2,2,2,2,2,2,2,2,2
2024. 4. 15 오후 3:49:49,3,3,3,3,3,3,3,3,3
2024. 4. 15 오후 3:50:45,2,2,2,2,2,2,2,2,2
2024. 4. 15 오후 3:53:44,2,2,2,2,2,2,2,2,2
2024. 4. 15 오후 3:54:43,3,1,1,1,4,1,4,2,1
2024. 4. 15 오후 4:48:16,3,2,2,2,2,2,2,2,2
2024. 4. 15 오후 5:13:01,3,4,5,5,5,5,5,5,1
2024. 4. 15 오후 5:19:56,1,1,1,1,1,1,1,1,1
2024. 4. 15 오후 5:20:02,1,1,1,1,1,1,1,1,1
2024. 4. 15 오후 5:23:42,2,2,3,2,4,4,4,4,2
2024. 4. 15 오후 5:24:47,1,1,1,1,3,1,2,2,1
2024. 4. 15 오후 5:25:15,3,2,3,3,3,3,3,3,3
2024. 4. 15 오후 5:25:45,1,3,1,2,4,4,4,3,1
2024. 4. 15 오후 5:25:52,4,3,4,3,4,4,4,4,4
2024. 4. 15 오후 5:26:03,3,3,3,3,5,5,4,4,4
2024. 4. 15 오후 5:26:55,1,1,3,2,4,3,3,2,1
2024. 4. 15 오후 5:28:29,5,5,5,5,5,5,5,5,5
2024. 4. 15 오후 5:28:44,1,1,1,1,1,1,1,1,1
2024. 4. 15 오후 5:31:08,5,5,4,2,5,5,5,2,1
2024. 4. 15 오후 5:32:43,1,1,1,1,1,1,2,1,1
2024. 4. 15 오후 5:34:58,2,2,1,1,4,4,4,2,1
2024. 4. 15 오후 5:35:12,2,2,2,2,5,5,5,5,3
2024. 4. 15 오후 5:36:22,3,2,5,2,5,4,4,3,1
2024. 4. 15 오후 5:37:47,3,3,3,3,3,3,4,4,2
2024. 4. 15 오후 5:45:21,2,2,4,5,2,2,2,2,2
2024. 4. 15 오후 5:45:45,2,2,3,3,4,3,2,2,2
2024. 4. 15 오후 5:47:12,1,1,1,1,1,1,1,1,1
2024. 4. 15 오후 5:48:39,4,1,3,1,2,2,4,3,2
2024. 4. 15 오후 6:05:13,5,5,5,5,5,3,5,2,1
2024. 4. 15 오후 6:21:46,2,2,2,1,3,1,3,1,1
2024. 4. 15 오후 6:29:42,5,5,5,5,5,5,4,1,1
2024. 4. 15 오후 7:09:01,2,2,2,2,2,2,2,2,2
2024. 4. 15 오후 7:39:08,1,1,1,1,3,3,1,1,4
2024. 4. 15 오후 7:42:42,5,5,5,5,5,5,5,5,5
2024. 4. 15 오후 8:24:56,3,4,5,5,4,4,3,3,2
2024. 4. 15 오후 10:43:33,3,2,2,2,2,2,2,2,2
2024. 4. 16 오후 12:36:17,1,1,2,2,1,1,1,2,1
2024. 4. 16 오후 5:12:36,3,4,4,4,4,3,4,2,1
2024. 4. 16 오후 5:12:54,2,2,2,2,4,4,4,4,2
2024. 4. 16 오후 5:13:50,2,2,2,1,4,3,2,2,1
2024. 4. 16 오후 5:16:21,5,5,5,5,5,5,5,5,5
2024. 4. 16 오후 5:17:48,2,2,2,2,5,5,5,5,2
2024. 4. 16 오후 5:19:37,3,3,3,3,4,4,3,3,2
2024. 4. 16 오후 5:24:46,2,2,2,2,4,2,3,3,5
2024. 4. 16 오후 5:26:04,2,1,1,1,1,1,1,1,1
2024. 4. 16 오후 5:27:44,3,3,2,2,4,3,3,2,1
2024. 4. 16 오후 5:31:35,3,4,2,3,4,4,4,3,1
2024. 4. 16 오후 5:34:21,1,1,1,1,1,1,1,1,1
2024. 4. 16 오후 5:36:15,4,4,4,4,4,3,4,3,4
2024. 4. 16 오후 5:45:20,3,3,3,3,3,3,3,3,3
2024. 4. 16 오후 5:54:55,1,2,2,1,4,4,4,4,1
2024. 4. 16 오후 5:55:40,4,1,5,1,4,2,2,2,1
2024. 4. 16 오후 6:05:03,2,3,4,1,4,3,4,2,1
2024. 4. 16 오후 6:18:57,3,3,5,2,5,3,3,3,2
2024. 4. 16 오후 6:20:47,1,1,1,1,1,1,1,1,1
2024. 4. 16 오후 7:00:24,4,4,4,2,5,5,4,2,5
2024. 4. 16 오후 7:37:15,4,4,4,4,4,2,2,2,1
2024. 4. 16 오후 7:40:19,1,1,1,3,4,1,1,1,1
2024. 4. 16 오후 7:42:41,4,2,2,4,5,5,5,1,3
2024. 4. 16 오후 7:43:33,2,2,2,1,3,3,3,3,1
2024. 4. 16 오후 7:44:03,2,2,2,2,4,3,3,2,1
2024. 4. 16 오후 7:51:35,3,1,1,1,1,1,1,1,1
2024. 4. 16 오후 7:55:38,1,1,5,3,2,3,2,1,1
2024. 4. 16 오후 7:59:49,2,4,4,4,5,3,5,2,2
